iter	Passed	Remaining
0	15	15023
1	22	11268
2	34	11312
3	47	11895
4	56	11240
5	66	11096
6	75	10695
7	85	10557
8	96	10612
9	109	10806
10	117	10598
11	126	10433
12	134	10215
13	143	10105
14	149	9816
15	155	9583
16	163	9446
17	171	9372
18	181	9355
19	187	9206
20	195	9121
21	204	9096
22	212	9027
23	220	8967
24	230	8985
25	239	8957
26	246	8876
27	253	8806
28	262	8780
29	270	8752
30	278	8707
31	285	8624
32	292	8570
33	300	8527
34	307	8482
35	314	8412
36	320	8345
37	327	8303
38	335	8275
39	342	8218
40	348	8156
41	355	8110
42	361	8045
43	369	8033
44	376	7987
45	383	7958
46	392	7949
47	399	7929
48	411	7994
49	419	7972
50	426	7937
51	434	7925
52	441	7893
53	447	7843
54	454	7816
55	461	7783
56	469	7761
57	475	7721
58	481	7683
59	488	7646
60	493	7603
61	500	7574
62	506	7536
63	512	7501
64	518	7458
65	525	7432
66	531	7400
67	538	7381
68	544	7343
69	549	7301
70	556	7283
71	563	7258
72	570	7238
73	576	7212
74	581	7173
75	588	7159
76	596	7147
77	604	7144
78	610	7114
79	617	7102
80	624	7079
81	631	7067
82	639	7061
83	646	7051
84	653	7034
85	660	7019
86	668	7011
87	673	6984
88	680	6966
89	687	6952
90	694	6933
91	701	6925
92	707	6898
93	713	6881
94	720	6863
95	727	6849
96	735	6844
97	741	6826
98	746	6794
99	753	6779
100	759	6758
101	766	6751
102	772	6730
103	778	6709
104	784	6687
105	790	6669
106	799	6670
107	805	6651
108	811	6634
109	819	6631
110	825	6613
111	833	6607
112	839	6588
113	845	6569
114	853	6570
115	859	6551
116	867	6546
117	873	6530
118	879	6508
119	886	6498
120	892	6486
121	899	6475
122	905	6453
123	910	6435
124	917	6424
125	924	6411
126	931	6401
127	936	6382
128	942	6363
129	948	6349
130	955	6335
131	961	6321
132	967	6305
133	973	6290
134	979	6273
135	985	6259
136	990	6242
137	998	6237
138	1005	6226
139	1012	6216
140	1018	6203
141	1023	6187
142	1031	6179
143	1036	6163
144	1042	6149
145	1050	6143
146	1056	6127
147	1062	6114
148	1068	6101
149	1073	6084
150	1079	6070
151	1086	6059
152	1093	6054
153	1100	6043
154	1105	6028
155	1111	6011
156	1117	6001
157	1123	5988
158	1130	5980
159	1136	5965
160	1141	5950
161	1147	5937
162	1153	5922
163	1159	5910
164	1165	5897
165	1170	5881
166	1176	5867
167	1182	5855
168	1188	5843
169	1195	5836
170	1203	5833
171	1211	5832
172	1218	5823
173	1226	5823
174	1233	5816
175	1240	5806
176	1246	5795
177	1252	5784
178	1259	5776
179	1265	5763
180	1270	5750
181	1276	5735
182	1282	5727
183	1289	5718
184	1296	5710
185	1301	5697
186	1308	5687
187	1314	5676
188	1320	5666
189	1327	5658
190	1334	5654
191	1345	5661
192	1362	5696
193	1369	5688
194	1375	5678
195	1383	5673
196	1390	5666
197	1398	5663
198	1406	5661
199	1421	5684
200	1430	5685
201	1437	5677
202	1444	5670
203	1450	5661
204	1458	5656
205	1465	5648
206	1472	5639
207	1479	5632
208	1485	5623
209	1494	5620
210	1500	5611
211	1508	5606
212	1514	5597
213	1523	5595
214	1531	5591
215	1537	5581
216	1545	5576
217	1551	5565
218	1559	5563
219	1566	5555
220	1573	5544
221	1579	5536
222	1587	5531
223	1594	5524
224	1601	5516
225	1609	5510
226	1615	5501
227	1622	5494
228	1629	5486
229	1635	5474
230	1641	5464
231	1647	5454
232	1654	5446
233	1660	5436
234	1666	5425
235	1672	5415
236	1679	5406
237	1685	5397
238	1692	5388
239	1697	5376
240	1703	5365
241	1709	5354
242	1716	5347
243	1722	5338
244	1729	5330
245	1734	5317
246	1740	5307
247	1746	5295
248	1753	5287
249	1759	5277
250	1764	5265
251	1769	5253
252	1775	5242
253	1781	5232
254	1788	5224
255	1794	5214
256	1799	5201
257	1805	5192
258	1818	5203
259	1871	5326
260	1879	5322
261	1886	5315
262	1893	5306
263	1899	5294
264	1904	5281
265	1910	5272
266	1917	5265
267	1924	5257
268	1930	5247
269	1936	5236
270	1944	5230
271	1951	5222
272	1957	5214
273	1963	5203
274	1969	5191
275	1976	5184
276	1983	5176
277	1989	5167
278	1995	5157
279	2001	5146
280	2008	5138
281	2014	5130
282	2022	5124
283	2029	5115
284	2035	5106
285	2042	5100
286	2049	5092
287	2057	5086
288	2063	5076
289	2069	5067
290	2076	5058
291	2083	5051
292	2089	5042
293	2095	5032
294	2101	5022
295	2107	5012
296	2113	5003
297	2120	4996
298	2126	4985
299	2132	4975
300	2137	4964
301	2143	4953
302	2149	4945
303	2156	4937
304	2162	4927
305	2167	4915
306	2174	4908
307	2181	4900
308	2187	4892
309	2193	4881
310	2201	4878
311	2208	4871
312	2216	4866
313	2223	4857
314	2229	4848
315	2235	4839
316	2241	4830
317	2248	4821
318	2255	4814
319	2261	4804
320	2266	4794
321	2273	4786
322	2280	4779
323	2287	4772
324	2292	4761
325	2298	4752
326	2304	4743
327	2310	4734
328	2318	4728
329	2324	4718
330	2330	4710
331	2337	4702
332	2344	4695
333	2351	4688
334	2359	4682
335	2365	4675
336	2371	4666
337	2377	4656
338	2384	4649
339	2390	4640
340	2398	4635
341	2405	4628
342	2413	4622
343	2419	4614
344	2425	4605
345	2431	4596
346	2439	4591
347	2446	4583
348	2456	4581
349	2463	4574
350	2468	4564
351	2474	4554
352	2483	4551
353	2489	4542
354	2495	4534
355	2502	4526
356	2508	4518
357	2517	4514
358	2523	4505
359	2528	4495
360	2535	4488
361	2541	4478
362	2548	4472
363	2555	4465
364	2561	4456
365	2568	4449
366	2574	4439
367	2581	4432
368	2587	4424
369	2594	4417
370	2599	4407
371	2605	4398
372	2612	4391
373	2619	4383
374	2624	4373
375	2632	4368
376	2639	4362
377	2647	4356
378	2654	4348
379	2660	4340
380	2666	4331
381	2673	4324
382	2680	4317
383	2685	4308
384	2691	4299
385	2698	4291
386	2704	4283
387	2711	4276
388	2718	4269
389	2724	4260
390	2729	4251
391	2735	4243
392	2742	4235
393	2748	4227
394	2755	4219
395	2760	4210
396	2766	4201
397	2772	4194
398	2779	4186
399	2785	4177
400	2790	4168
401	2796	4159
402	2802	4151
403	2808	4143
404	2815	4136
405	2821	4128
406	2827	4119
407	2833	4111
408	2839	4103
409	2846	4096
410	2852	4087
411	2858	4079
412	2865	4072
413	2871	4063
414	2877	4056
415	2884	4049
416	2890	4040
417	2896	4032
418	2902	4024
419	2910	4018
420	2916	4011
421	2922	4002
422	2929	3995
423	2935	3987
424	2942	3980
425	2948	3972
426	2954	3965
427	2961	3957
428	2967	3949
429	2973	3942
430	2980	3934
431	2986	3926
432	2993	3920
433	3000	3912
434	3007	3906
435	3014	3899
436	3020	3891
437	3026	3883
438	3033	3876
439	3039	3868
440	3046	3861
441	3051	3852
442	3058	3845
443	3064	3837
444	3070	3829
445	3077	3822
446	3082	3813
447	3088	3805
448	3094	3797
449	3100	3789
450	3107	3782
451	3115	3777
452	3121	3769
453	3130	3764
454	3137	3757
455	3145	3751
456	3151	3744
457	3157	3736
458	3163	3729
459	3169	3720
460	3176	3713
461	3181	3705
462	3188	3698
463	3194	3689
464	3200	3681
465	3206	3674
466	3212	3666
467	3219	3660
468	3226	3653
469	3234	3647
470	3241	3640
471	3247	3633
472	3253	3624
473	3259	3617
474	3266	3610
475	3274	3604
476	3281	3597
477	3287	3590
478	3294	3583
479	3300	3575
480	3309	3571
481	3316	3563
482	3322	3556
483	3328	3548
484	3333	3540
485	3341	3534
486	3348	3527
487	3354	3519
488	3360	3511
489	3366	3503
490	3373	3496
491	3379	3488
492	3385	3481
493	3390	3472
494	3397	3465
495	3403	3458
496	3409	3451
497	3415	3442
498	3421	3435
499	3428	3428
500	3435	3421
501	3442	3415
502	3448	3407
503	3454	3399
504	3460	3391
505	3466	3384
506	3474	3378
507	3480	3370
508	3486	3362
509	3491	3354
510	3497	3347
511	3506	3341
512	3512	3334
513	3517	3326
514	3524	3318
515	3529	3310
516	3536	3303
517	3542	3296
518	3547	3288
519	3553	3280
520	3559	3272
521	3565	3265
522	3571	3257
523	3577	3250
524	3582	3241
525	3589	3234
526	3594	3226
527	3600	3218
528	3606	3211
529	3612	3203
530	3618	3195
531	3625	3188
532	3631	3181
533	3664	3197
534	3676	3195
535	3683	3188
536	3688	3180
537	3695	3173
538	3702	3166
539	3709	3159
540	3715	3152
541	3721	3145
542	3727	3137
543	3735	3131
544	3741	3123
545	3747	3116
546	3753	3108
547	3759	3101
548	3765	3093
549	3772	3086
550	3777	3078
551	3783	3070
552	3789	3063
553	3795	3055
554	3802	3049
555	3808	3041
556	3813	3033
557	3820	3026
558	3827	3019
559	3834	3012
560	3840	3005
561	3846	2998
562	3852	2990
563	3858	2983
564	3865	2976
565	3873	2969
566	3879	2962
567	3885	2954
568	3890	2947
569	3896	2939
570	3904	2933
571	3910	2926
572	3917	2918
573	3923	2911
574	3930	2904
575	3936	2897
576	3944	2891
577	3949	2883
578	3955	2876
579	3962	2869
580	3968	2862
581	3974	2854
582	3980	2847
583	3986	2839
584	3991	2831
585	3998	2824
586	4004	2817
587	4022	2818
588	4027	2810
589	4036	2805
590	4042	2797
591	4048	2789
592	4055	2783
593	4062	2776
594	4069	2770
595	4075	2762
596	4081	2755
597	4088	2748
598	4095	2741
599	4101	2734
600	4106	2726
601	4112	2718
602	4119	2712
603	4126	2705
604	4132	2698
605	4139	2691
606	4144	2683
607	4151	2676
608	4157	2668
609	4163	2662
610	4169	2654
611	4176	2647
612	4182	2640
613	4188	2633
614	4195	2626
615	4202	2619
616	4208	2612
617	4214	2605
618	4220	2597
619	4226	2590
620	4233	2583
621	4239	2576
622	4246	2569
623	4252	2562
624	4259	2555
625	4266	2548
626	4272	2541
627	4278	2534
628	4284	2526
629	4289	2519
630	4297	2513
631	4303	2505
632	4308	2498
633	4315	2491
634	4321	2483
635	4327	2476
636	4334	2470
637	4340	2462
638	4346	2455
639	4352	2448
640	4359	2441
641	4364	2434
642	4370	2426
643	4376	2419
644	4382	2411
645	4388	2404
646	4395	2398
647	4401	2390
648	4407	2383
649	4413	2376
650	4419	2369
651	4426	2362
652	4437	2358
653	4444	2351
654	4450	2344
655	4459	2338
656	4466	2331
657	4472	2324
658	4478	2317
659	4484	2310
660	4492	2303
661	4498	2296
662	4504	2289
663	4510	2282
664	4517	2275
665	4524	2268
666	4532	2262
667	4537	2255
668	4543	2248
669	4550	2241
670	4557	2234
671	4562	2227
672	4569	2220
673	4575	2212
674	4580	2205
675	4586	2198
676	4593	2191
677	4599	2184
678	4605	2177
679	4612	2170
680	4618	2163
681	4625	2156
682	4631	2149
683	4637	2142
684	4643	2135
685	4650	2128
686	4658	2122
687	4665	2115
688	4672	2108
689	4679	2102
690	4686	2095
691	4695	2089
692	4700	2082
693	4706	2075
694	4712	2068
695	4719	2061
696	4727	2055
697	4733	2048
698	4740	2041
699	4746	2034
700	4752	2027
701	4759	2020
702	4766	2013
703	4773	2006
704	4778	1999
705	4786	1993
706	4792	1986
707	4798	1979
708	4804	1971
709	4811	1965
710	4818	1958
711	4825	1951
712	4831	1944
713	4838	1937
714	4844	1931
715	4851	1924
716	4858	1917
717	4864	1910
718	4871	1903
719	4876	1896
720	4882	1889
721	4889	1882
722	4895	1875
723	4901	1868
724	4907	1861
725	4912	1854
726	4919	1847
727	4925	1840
728	4931	1833
729	4937	1826
730	4944	1819
731	4950	1812
732	4956	1805
733	4962	1798
734	4969	1791
735	4975	1784
736	4981	1777
737	4989	1771
738	4994	1763
739	5001	1757
740	5008	1750
741	5014	1743
742	5021	1736
743	5027	1729
744	5033	1722
745	5066	1725
746	5078	1720
747	5088	1714
748	5094	1707
749	5100	1700
750	5107	1693
751	5113	1686
752	5120	1679
753	5127	1672
754	5133	1665
755	5140	1659
756	5146	1652
757	5153	1645
758	5159	1638
759	5168	1632
760	5174	1625
761	5181	1618
762	5187	1611
763	5193	1604
764	5200	1597
765	5207	1590
766	5213	1583
767	5220	1577
768	5228	1570
769	5235	1563
